TAIR ID;Name;downregulated in following transcriptomes;upregulated in following transcriptomes;the number of transcriptomes where registered as DEG (FDR<0.05);start of expression changes;1 logFC_4h_SRP017925;2 logFC_4h_SRP017926;3 logFC_4h_SRP069072;4 logFC_4h_SRP076862_root;5 logFC_4h_SRP168223;6 logFC_12h_SRP017925;7 logFC_24h_SRP017925;8 logFC_4h_SRP076862_shoot;9 logFC_4h_GSE7432;10 logFC_4h_SRP126162;11 logFC_2h_SRP118634;12 logFC_4h_SRP118634;13 logFC_4h_GSE84446;14 logFC_8h_GSE84446;15 logFC_12h_GSE84446;16 logFC_24h_GSE84446;1 FDR_4h_SRP017925;2 FDR_4h_SRP017926;3 FDR_4h_SRP069072;4 FDR_4h_SRP076862_root;5 FDR_4h_SRP168223;6 FDR_12h_SRP017925;7 FDR_24h_SRP017925;8 FDR_4h_SRP076862_shoot;9 FDR_4h_GSE7432;10 FDR_4h_SRP126162;11 FDR_2h_SRP118634;12 FDR_4h_SRP118634;13 FDR_4h_GSE84446;14 FDR_8h_GSE84446;15 FDR_12h_GSE84446;16 FDR_24h_GSE84446
AT5G53580;NAD(P)-linked oxidoreductase superfamily protein(PLR1);;14;1;8_24h;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;0.043428016;;
AT1G53910;related to AP2 12(RAP2.12);;14-15;2;8_24h;;;;;;;;;;;;;;0.5;0.7;;;;;;;;;;;;;;;0.043245795;0.021959368;
AT2G28260;cyclic nucleotide-gated channel 15(CNGC15);;14;1;8_24h;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;0.031699537;;
AT3G59400;protein GENOMES UNCOUPLED 4(GUN4);;14;1;8_24h;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;0.033793679;;
AT3G14510;Polyprenyl synthetase family protein(AT3G14510);;14;1;8_24h;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;0.035505487;;
AT5G59430;telomeric repeat binding protein 1(TRP1);;14;1;8_24h;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;0.043245795;;
AT1G66450;Cysteine/Histidine-rich C1 domain family protein(AT1G66450);;14;1;8_24h;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;0.02031083;;
AT3G21520;transmembrane protein, putative (DUF679 domain membrane protein 1)(DMP1);;14-15;2;8_24h;;;;;;;;;;;;;;0.5;0.8;;;;;;;;;;;;;;;0.04;0.008236269;
AT5G40090;Disease resistance protein (TIR-NBS class)(AT5G40090);;14;1;8_24h;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;;;0.033293296;;
AT5G18490;vacuolar sorting-associated protein (DUF946)(AT5G18490);;14-15;2;8_24h;;;;;;;;;;;;;;0.6;0.6;;;;;;;;;;;;;;;0.029339121;0.033317963;
AT5G43920;transducin family protein / WD-40 repeat family protein(AT5G43920);;14;1;8_24h;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;;;0.038709055;;
AT2G45050;GATA transcription factor 2(GATA2);;14;1;8_24h;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;;;0.031521981;;
AT1G12250;Pentapeptide repeat-containing protein(AT1G12250);;14;1;8_24h;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;;;0.038256834;;
AT1G47340;F-box and associated interaction domains-containing protein(AT1G47340);;14;1;8_24h;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;;;0.041482199;;
AT1G58110;Basic-leucine zipper (bZIP) transcription factor family protein(AT1G58110);;14-15;2;8_24h;;;;;;;;;;;;;;0.6;0.9;;;;;;;;;;;;;;;0.026338178;0.027777931;
AT4G16840;transmembrane protein(AT4G16840);;14;1;8_24h;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;;;0.037071973;;
AT5G02290;Protein kinase superfamily protein(NAK);;14;1;8_24h;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;;;0.034035855;;
AT1G51400;Photosystem II 5 kD protein(AT1G51400);;14;1;8_24h;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;;;0.02663313;;
AT1G29130;;;14-15;2;8_24h;;;;;;;;;;;;;;0.6;0.7;;;;;;;;;;;;;;;0.018141266;0.02480229;
AT2G04800;hypothetical protein(AT2G04800);;14-15;2;8_24h;;;;;;;;;;;;;;0.6;0.7;;;;;;;;;;;;;;;0.041981209;0.02189728;
AT1G75190;hypothetical protein(AT1G75190);;14#16;2;8_24h;;;;;;;;;;;;;;0.6;;0.7;;;;;;;;;;;;;;0.030271786;;0.028812529
AT4G34920;PLC-like phosphodiesterases superfamily protein(AT4G34920);;14;1;8_24h;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;;;0.016439476;;
AT3G44630;Disease resistance protein (TIR-NBS-LRR class) family(AT3G44630);;14-15;2;8_24h;;;;;;;;;;;;;;0.6;0.6;;;;;;;;;;;;;;;0.016209801;0.026196871;
AT4G14695;Uncharacterized protein family (UPF0041)(AT4G14695);;14#16;2;8_24h;;;;;;;;;;;;;;0.6;;0.9;;;;;;;;;;;;;;0.043245795;;0.005534275
AT1G52240;rop guanine nucleotide exchange factor-like protein(ROPGEF11);;14#16;2;8_24h;;;;;;;;;;;;;;0.6;;1.1;;;;;;;;;;;;;;0.009219045;;0.012779703
AT2G28120;Major facilitator superfamily protein(AT2G28120);;14-15;2;8_24h;;;;;;;;;;;;;;0.7;1.2;;;;;;;;;;;;;;;0.043486629;0.019937092;
AT3G09920;phosphatidyl inositol monophosphate 5 kinase(PIP5K9);;14-15;2;8_24h;;;;;;;;;;;;;;0.7;0.8;;;;;;;;;;;;;;;0.011010087;0.018455956;
AT5G04790;transmembrane protein(AT5G04790);;14;1;8_24h;;;;;;;;;;;;;;0.7;;;;;;;;;;;;;;;;0.012282405;;
AT3G63240;DNAse I-like superfamily protein(AT3G63240);;14;1;8_24h;;;;;;;;;;;;;;0.7;;;;;;;;;;;;;;;;0.027343079;;
AT3G43790;zinc induced facilitator-like 2(ZIFL2);;14-15;2;8_24h;;;;;;;;;;;;;;0.7;0.6;;;;;;;;;;;;;;;0.007427768;0.040840384;
AT2G28970;Leucine-rich repeat protein kinase family protein(AT2G28970);;14#16;2;8_24h;;;;;;;;;;;;;;0.7;;1;;;;;;;;;;;;;;0.016538406;;0.019928035
AT5G15725;transmembrane protein(AT5G15725);;14#16;2;8_24h;;;;;;;;;;;;;;0.7;;0.8;;;;;;;;;;;;;;0.030614104;;0.009819174
AT1G48000;myb domain protein 112(MYB112);;14;1;8_24h;;;;;;;;;;;;;;0.7;;;;;;;;;;;;;;;;0.021691589;;
AT4G14870;secE/sec61-gamma protein transport protein(SECE1);;14;1;8_24h;;;;;;;;;;;;;;0.7;;;;;;;;;;;;;;;;0.026065211;;
AT5G07150;Leucine-rich repeat protein kinase family protein(AT5G07150);;14-15;2;8_24h;;;;;;;;;;;;;;0.7;0.8;;;;;;;;;;;;;;;0.012810971;0.040306313;
AT3G07670;Rubisco methyltransferase family protein(AT3G07670);;14;1;8_24h;;;;;;;;;;;;;;0.7;;;;;;;;;;;;;;;;0.0419542;;
AT1G29820;Magnesium transporter CorA-like family protein(AT1G29820);;14;1;8_24h;;;;;;;;;;;;;;0.7;;;;;;;;;;;;;;;;0.036813634;;
AT3G43400;ELMO/CED-12 family protein(AT3G43400);;14-16;3;8_24h;;;;;;;;;;;;;;0.8;0.6;0.6;;;;;;;;;;;;;;0.024903827;0.039143682;0.019103278
AT2G22800;Homeobox-leucine zipper protein family(HAT9);;14-15;2;8_24h;;;;;;;;;;;;;;0.8;1;;;;;;;;;;;;;;;0.012189835;0.01050969;
AT5G44810;;;14;1;8_24h;;;;;;;;;;;;;;0.8;;;;;;;;;;;;;;;;0.036415011;;
AT4G39890;RAB GTPase homolog H1C(RABH1c);;14-16;3;8_24h;;;;;;;;;;;;;;0.8;0.9;0.6;;;;;;;;;;;;;;0.006772228;0.028928352;0.036477399
AT4G34560;transmembrane protein(AT4G34560);;14-15;2;8_24h;;;;;;;;;;;;;;0.8;0.9;;;;;;;;;;;;;;;0.015198298;0.01372245;
AT4G32870;Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT4G32870);;14-16;3;8_24h;;;;;;;;;;;;;;0.8;0.9;0.7;;;;;;;;;;;;;;0.023421482;0.009636086;0.009646728
AT1G62030;Cysteine/Histidine-rich C1 domain family protein(AT1G62030);;14;1;8_24h;;;;;;;;;;;;;;0.8;;;;;;;;;;;;;;;;0.031513185;;
AT1G49320;unknown seed protein like 1(USPL1);;6-7#14-16;5;8_24h;;;;;;1.6;1.5;;;;;;;0.8;0.9;1;;;;;;2.53E-06;0.000187294;;;;;;;0.003813828;0.011817777;0.009646728
AT1G67700;multidrug resistance protein(AT1G67700);;14-15;2;8_24h;;;;;;;;;;;;;;0.9;1;;;;;;;;;;;;;;;0.021691589;0.017867806;
AT5G14880;Potassium transporter family protein(AT5G14880);;14-16;3;8_24h;;;;;;;;;;;;;;0.9;1;0.8;;;;;;;;;;;;;;0.032142024;0.006531666;0.04
AT1G68590;Ribosomal protein PSRP-3/Ycf65(PSRP3/1);;14-15;2;8_24h;;;;;;;;;;;;;;0.9;1.2;;;;;;;;;;;;;;;0.011729709;0.010867144;
AT5G16870;Peptidyl-tRNA hydrolase II (PTH2) family protein(AT5G16870);;14-16;3;8_24h;;;;;;;;;;;;;;0.9;0.9;0.5;;;;;;;;;;;;;;0.02151871;0.034631708;0.042478871
AT5G41280;Receptor-like protein kinase-related family protein(AT5G41280);;14#16;2;8_24h;;;;;;;;;;;;;;1;;1.1;;;;;;;;;;;;;;0.036445573;;0.011713411
AT1G32460;hypothetical protein(AT1G32460);;14-16;3;8_24h;;;;;;;;;;;;;;1;1;0.8;;;;;;;;;;;;;;0.017454841;0.003594519;0.03202433
AT2G35730;Heavy metal transport/detoxification superfamily protein(AT2G35730);;14#16;2;8_24h;;;;;;;;;;;;;;1;;1.7;;;;;;;;;;;;;;0.016194665;;0.04085629
AT2G05530;Glycine-rich protein family(AT2G05530);;14-16;3;8_24h;;;;;;;;;;;;;;1;2.5;2.5;;;;;;;;;;;;;;0.032385604;0.014262765;0.004186734
AT2G30610;;;14-15;2;8_24h;;;;;;;;;;;;;;1.1;0.8;;;;;;;;;;;;;;;0.025951666;0.008788226;
AT4G25300;2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT4G25300);;14-15;2;8_24h;;;;;;;;;;;;;;1.1;1.6;;;;;;;;;;;;;;;0.009410767;0.042040143;
AT4G18340;Glycosyl hydrolase superfamily protein(AT4G18340);;14-15;2;8_24h;;;;;;;;;;;;;;1.1;1.3;;;;;;;;;;;;;;;0.01215746;0.002951158;
AT1G10970;zinc transporter(ZIP4);;14-16;3;8_24h;;;;;;;;;;;;;;1.2;1;1;;;;;;;;;;;;;;0.020873742;0.018990122;0.020006599
AT3G02790;zinc finger (C2H2 type) family protein(AT3G02790);;6#14-16;4;8_24h;;;;;;0.8;;;;;;;;1.2;1;1.1;;;;;;0.004634796;;;;;;;;0.002786579;0.010674153;0.005227329
AT3G47800;Galactose mutarotase-like superfamily protein(AT3G47800);;14-16;3;8_24h;;;;;;;;;;;;;;1.3;1.2;1.3;;;;;;;;;;;;;;0.04;0.01461723;0.009721974
AT3G47380;Plant invertase/pectin methylesterase inhibitor superfamily protein(AT3G47380);;14-16;3;8_24h;;;;;;;;;;;;;;1.3;1.1;1.7;;;;;;;;;;;;;;0.004416151;0.020456601;0.002223842
AT3G16350;Homeodomain-like superfamily protein(AT3G16350);;14-15;2;8_24h;;;;;;;;;;;;;;1.3;1.2;;;;;;;;;;;;;;;0.005340837;0.0057843;
AT1G70290;trehalose-6-phosphatase synthase S8(TPS8);;14-15;2;8_24h;;;;;;;;;;;;;;1.4;1.1;;;;;;;;;;;;;;;0.026488023;0.013378717;
AT2G39200;Seven transmembrane MLO family protein(MLO12);;14-15;2;8_24h;;;;;;;;;;;;;;1.4;1.4;;;;;;;;;;;;;;;0.043762335;0.02333631;
AT2G29340;NAD-dependent epimerase/dehydratase family protein(AT2G29340);;14-15;2;8_24h;;;;;;;;;;;;;;1.4;1.8;;;;;;;;;;;;;;;0.009106762;0.006218394;
AT1G29270;transcription factor bHLH35-like protein(AT1G29270);;14-16;3;8_24h;;;;;;;;;;;;;;1.5;1.4;1.8;;;;;;;;;;;;;;0.004944867;0.00523557;0.005219553
AT4G34970;actin depolymerizing factor 9(ADF9);;14-16;3;8_24h;;;;;;;;;;;;;;1.5;1.1;1.4;;;;;;;;;;;;;;0.002752307;0.004959373;0.003413984
AT1G63180;UDP-D-glucose/UDP-D-galactose 4-epimerase 3(UGE3);;14-15;2;8_24h;;;;;;;;;;;;;;1.5;1.3;;;;;;;;;;;;;;;0.035495783;0.017857799;
AT4G36670;Major facilitator superfamily protein(PMT6);;7#14-15;3;8_24h;;;;;;;1.1;;;;;;;1.7;2.6;;;;;;;;0.007081115;;;;;;;0.004923738;0.025379191;
AT2G02710;PAS/LOV protein B(PLPB);;14-15;2;8_24h;;;;;;;;;;;;;;1.7;1.6;;;;;;;;;;;;;;;0.025192978;0.003829329;
AT3G45920;Protein kinase superfamily protein(AT3G45920);;14-16;3;8_24h;;;;;;;;;;;;;;2;2.3;1.8;;;;;;;;;;;;;;0.001079108;0.00523557;0.003720569
AT2G34180;CBL-interacting protein kinase 13(CIPK13);;14-16;3;8_24h;;;;;;;;;;;;;;2;3.4;2.2;;;;;;;;;;;;;;0.012440452;0.002845185;0.007121529
AT5G62360;Plant invertase/pectin methylesterase inhibitor superfamily protein(AT5G62360);;14-15;2;8_24h;;;;;;;;;;;;;;2.3;2.5;;;;;;;;;;;;;;;0.002162438;0.000652508;
AT5G56100;glycine-rich protein / oleosin(AT5G56100);;14-15;2;8_24h;;;;;;;;;;;;;;2.3;2.6;;;;;;;;;;;;;;;0.032590276;0.009767447;
AT3G53232;ROTUNDIFOLIA like 1(RTFL1);6;;1;8_24h;;;;;;-5.4;;;;;;;;;;;;;;;;0.012347566;;;;;;;;;;
AT5G24155;FAD/NAD(P)-binding oxidoreductase family protein(AT5G24155);07.θών;;2;8_24h;;;;;;-5.4;-5.4;;;;;;;;;;;;;;;0.012258451;0.012302121;;;;;;;;;
AT1G65486;transmembrane protein(AT1G65486);6;;1;8_24h;;;;;;-4.5;;;;;;;;;;;;;;;;0.018542292;;;;;;;;;;
AT1G29080;Papain family cysteine protease(AT1G29080);07.θών;;2;8_24h;;;;;;-3.9;-4.8;;;;;;;;;;;;;;;5.64E-10;7.74E-10;;;;;;;;;
AT1G04660;glycine-rich protein(AT1G04660);07.θών;;2;8_24h;;;;;;-3.2;-3.2;;;;;;;;;;;;;;;0.000236164;0.000102792;;;;;;;;;
AT4G08555;hypothetical protein(AT4G08555);07.θών;;2;8_24h;;;;;;-2.9;-3.6;;;;;;;;;;;;;;;0.000717847;0.000240386;;;;;;;;;
AT4G01490;hypothetical protein(AT4G01490);07.θών;;2;8_24h;;;;;;-2.4;-2.4;;;;;;;;;;;;;;;0.005111645;0.009996238;;;;;;;;;
AT2G36790;UDP-glucosyl transferase 73C6(UGT73C6);6-7#16;;3;8_24h;;;;;;-2.2;-4.7;;;;;;;;;-0.9;;;;;;0.017963037;0.000359973;;;;;;;;;0.043717805
AT1G55940;cytochrome P450 family protein(CYP708A1);6-7#16;;3;8_24h;;;;;;-2.2;-3.4;;;;;;;;;-0.9;;;;;;0.00236016;1.98E-05;;;;;;;;;0.02448745
AT1G23070;organic solute transporter ostalpha protein (DUF300)(AT1G23070);6;;1;8_24h;;;;;;-2.2;;;;;;;;;;;;;;;;0.006086066;;;;;;;;;;
AT1G48100;Pectin lyase-like superfamily protein(AT1G48100);07.θών;;2;8_24h;;;;;;-2.1;-1.9;;;;;;;;;;;;;;;0.01365164;0.03470807;;;;;;;;;
AT4G19970;nucleotide-diphospho-sugar transferase family protein(AT4G19970);07.θών;;2;8_24h;;;;;;-2.1;-4.4;;;;;;;;;;;;;;;8.53E-06;7.62E-11;;;;;;;;;
AT5G24130;polypyrimidine tract-binding-like protein(AT5G24130);07.θών;;2;8_24h;;;;;;-1.9;-2.3;;;;;;;;;;;;;;;5.64E-07;9.21E-10;;;;;;;;;
AT5G60800;Heavy metal transport/detoxification superfamily protein(AT5G60800);07.θών;;2;8_24h;;;;;;-1.9;-1.8;;;;;;;;;;;;;;;0.021239404;0.036767056;;;;;;;;;
AT2G35310;Transcriptional factor B3 family protein(AT2G35310);6;;1;8_24h;;;;;;-1.7;;;;;;;;;;;;;;;;0.034584834;;;;;;;;;;
AT5G04000;hypothetical protein(AT5G04000);07.θών;;2;8_24h;;;;;;-1.6;-1.5;;;;;;;;;;;;;;;0.022024265;0.039631293;;;;;;;;;
AT2G38790;hypothetical protein(AT2G38790);07.θών;;2;8_24h;;;;;;-1.6;-1.6;;;;;;;;;;;;;;;0.0113479;0.007595042;;;;;;;;;
AT1G26230;TCP-1/cpn60 chaperonin family protein(Cpn60beta4);07.θών;;2;8_24h;;;;;;-1.5;-1.3;;;;;;;;;;;;;;;2.62E-07;4.47E-05;;;;;;;;;
AT1G30280;Chaperone DnaJ-domain superfamily protein(AT1G30280);6;;1;8_24h;;;;;;-1.3;;;;;;;;;;;;;;;;0.011116198;;;;;;;;;;
AT3G46670;UDP-glucosyl transferase 76E11(UGT76E11);07.θών;;2;8_24h;;;;;;-1.3;-1.5;;;;;;;;;;;;;;;0.028274619;0.00827452;;;;;;;;;
AT5G15850;CONSTANS-like 1(COL1);07.θών;;2;8_24h;;;;;;-1.3;-1.4;;;;;;;;;;;;;;;0.00153319;0.001803786;;;;;;;;;
AT1G20070;hypothetical protein(AT1G20070);07.θών;;2;8_24h;;;;;;-1.3;-1.8;;;;;;;;;;;;;;;1.55E-07;2.51E-10;;;;;;;;;
AT5G52900;membrane-associated kinase regulator(MAKR6);07.θών;;2;8_24h;;;;;;-1.2;-1.6;;;;;;;;;;;;;;;0.030510338;0.00596525;;;;;;;;;
AT3G02410;alpha/beta-Hydrolases superfamily protein(ICME-LIKE2);07.θών;;2;8_24h;;;;;;-1.2;-1.9;;;;;;;;;;;;;;;0.038850825;0.001145206;;;;;;;;;
AT3G27870;ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein(AT3G27870);6;;1;8_24h;;;;;;-1.2;;;;;;;;;;;;;;;;0.04;;;;;;;;;;
AT1G03743;ncRNA(AT1G03743);07.θών;;2;8_24h;;;;;;-1.2;-1.7;;;;;;;;;;;;;;;0.002567527;2.02E-05;;;;;;;;;
AT3G21760;UDP-Glycosyltransferase superfamily protein(HYR1);07.θών;;2;8_24h;;;;;;-1.1;-1.8;;;;;;;;;;;;;;;0.009538201;4.94E-05;;;;;;;;;
AT5G08630;DDT domain-containing protein(AT5G08630);6;;1;8_24h;;;;;;-1.1;;;;;;;;;;;;;;;;0.029375498;;;;;;;;;;
AT2G35382;ncRNA(AT2G35382);6;;1;8_24h;;;;;;-1.1;;;;;;;;;;;;;;;;0.004400769;;;;;;;;;;
AT5G66564;ncRNA(AT5G66564);07.θών;;2;8_24h;;;;;;-1.1;-1.3;;;;;;;;;;;;;;;0.00142809;0.000183874;;;;;;;;;
AT3G15970;NUP50 (Nucleoporin 50 kDa) protein(AT3G15970);6;;1;8_24h;;;;;;-1.1;;;;;;;;;;;;;;;;0.018660854;;;;;;;;;;
AT3G11050;ferritin 2(FER2);6-7#16;;3;8_24h;;;;;;-1;-1.4;;;;;;;;;-0.7;;;;;;0.008658819;0.003194778;;;;;;;;;0.020574477
AT5G60650;proline-rich receptor-like kinase(AT5G60650);07.θών;;2;8_24h;;;;;;-1;-1.4;;;;;;;;;;;;;;;0.04;0.004683158;;;;;;;;;
AT2G07727;cytochrome b(AT2G07727);6;;1;8_24h;;;;;;-1;;;;;;;;;;;;;;;;0.012347566;;;;;;;;;;
AT1G04800;glycine-rich protein(AT1G04800);6;;1;8_24h;;;;;;-1;;;;;;;;;;;;;;;;0.04;;;;;;;;;;
AT2G18969;transcription factor/transcription regulator(AT2G18969);6;;1;8_24h;;;;;;-0.9;;;;;;;;;;;;;;;;0.024963797;;;;;;;;;;
AT2G43139;ncRNA(AT2G43139);07.θών;;2;8_24h;;;;;;-0.9;-1.5;;;;;;;;;;;;;;;0.003022762;3.16E-06;;;;;;;;;
AT2G24280;alpha/beta-Hydrolases superfamily protein(AT2G24280);07.θών;;2;8_24h;;;;;;-0.9;-1.2;;;;;;;;;;;;;;;0.000923986;0.000283073;;;;;;;;;
AT2G45770;signal recognition particle receptor protein, chloroplast (FTSY)(CPFTSY);07.θών;;2;8_24h;;;;;;-0.9;-1.2;;;;;;;;;;;;;;;0.018599446;0.001674584;;;;;;;;;
AT5G04080;cysteine-rich TM module stress tolerance protein(AT5G04080);6;;1;8_24h;;;;;;-0.8;;;;;;;;;;;;;;;;0.013090989;;;;;;;;;;
AT3G27530;golgin Putative 6(GC6);6;;1;8_24h;;;;;;-0.8;;;;;;;;;;;;;;;;0.014850042;;;;;;;;;;
AT5G66562;ncRNA(AT5G66562);07.θών;;2;8_24h;;;;;;-0.8;-1.1;;;;;;;;;;;;;;;0.01128014;0.004765408;;;;;;;;;
AT2G07709;miscRNA(AT2G07709);07.θών;;2;8_24h;;;;;;-0.8;-0.7;;;;;;;;;;;;;;;0.00503753;0.031250984;;;;;;;;;
AT5G06165;ncRNA(AT5G06165);6;;1;8_24h;;;;;;-0.7;;;;;;;;;;;;;;;;0.005357493;;;;;;;;;;
AT2G07717;miscRNA(AT2G07717);6;;1;8_24h;;;;;;-0.7;;;;;;;;;;;;;;;;0.039353285;;;;;;;;;;
AT3G13200;Cwf15 / Cwc15 cell cycle control family protein(EMB2769);6;;1;8_24h;;;;;;-0.7;;;;;;;;;;;;;;;;0.027825001;;;;;;;;;;
AT3G19920;BTB/POZ domain protein(AT3G19920);07.θών;;2;8_24h;;;;;;-0.7;-1.6;;;;;;;;;;;;;;;0.035873668;6.76E-08;;;;;;;;;
AT4G37590;Phototropic-responsive NPH3 family protein(NPY5);6;;1;8_24h;;;;;;-0.7;;;;;;;;;;;;;;;;0.039861915;;;;;;;;;;
AT2G20860;lipoic acid synthase 1(LIP1);;6;1;8_24h;;;;;;0.5;;;;;;;;;;;;;;;;0.041562237;;;;;;;;;;
AT5G28919;hypothetical protein(AT5G28919);;6;1;8_24h;;;;;;0.5;;;;;;;;;;;;;;;;0.035472496;;;;;;;;;;
AT5G05950;maternal effect embryo arrest 60(MEE60);;6;1;8_24h;;;;;;0.6;;;;;;;;;;;;;;;;0.040013703;;;;;;;;;;
AT5G41700;ubiquitin conjugating enzyme 8(UBC8);;07.θών;2;8_24h;;;;;;0.6;0.8;;;;;;;;;;;;;;;0.014981404;0.003271336;;;;;;;;;
AT2G21950;SKP1 interacting partner 6(SKIP6);;6;1;8_24h;;;;;;0.6;;;;;;;;;;;;;;;;0.04;;;;;;;;;;
AT5G61130;plasmodesmata callose-binding protein 1(PDCB1);;6;1;8_24h;;;;;;0.6;;;;;;;;;;;;;;;;0.027825001;;;;;;;;;;
AT3G59940;Galactose oxidase/kelch repeat superfamily protein(AT3G59940);;6-7#15;3;8_24h;;;;;;0.6;1.1;;;;;;;;1.1;;;;;;;0.010608264;1.75E-05;;;;;;;;0.019552966;
AT5G20160;Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein(AT5G20160);;6;1;8_24h;;;;;;0.6;;;;;;;;;;;;;;;;0.024178071;;;;;;;;;;
AT5G01020;Protein kinase superfamily protein(AT5G01020);;6;1;8_24h;;;;;;0.6;;;;;;;;;;;;;;;;0.019841845;;;;;;;;;;
AT2G46220;DUF2358 family protein (DUF2358)(AT2G46220);;07.θών;2;8_24h;;;;;;0.6;1;;;;;;;;;;;;;;;0.010394547;3.23E-05;;;;;;;;;
AT4G17245;RING/U-box superfamily protein(AT4G17245);;6;1;8_24h;;;;;;0.6;;;;;;;;;;;;;;;;0.030214566;;;;;;;;;;
AT5G34930;arogenate dehydrogenase(AT5G34930);;6;1;8_24h;;;;;;0.7;;;;;;;;;;;;;;;;0.041433078;;;;;;;;;;
AT3G54220;GRAS family transcription factor(SCR);;6;1;8_24h;;;;;;0.7;;;;;;;;;;;;;;;;0.02991828;;;;;;;;;;
AT3G51420;strictosidine synthase-like 4(SSL4);;6;1;8_24h;;;;;;0.7;;;;;;;;;;;;;;;;0.009176766;;;;;;;;;;
AT1G07230;non-specific phospholipase C1(NPC1);;07.θών;2;8_24h;;;;;;0.7;0.9;;;;;;;;;;;;;;;0.011712371;0.003255484;;;;;;;;;
AT1G51360;dimeric A/B barrel domainS-protein 1(DABB1);;6;1;8_24h;;;;;;0.7;;;;;;;;;;;;;;;;0.017136713;;;;;;;;;;
AT3G27190;uridine kinase-like 2(UKL2);;6;1;8_24h;;;;;;0.7;;;;;;;;;;;;;;;;0.015954539;;;;;;;;;;
AT1G48550;Vacuolar protein sorting-associated protein 26(AT1G48550);;6;1;8_24h;;;;;;0.7;;;;;;;;;;;;;;;;0.022466835;;;;;;;;;;
AT5G53300;ubiquitin-conjugating enzyme 10(UBC10);;07.θών;2;8_24h;;;;;;0.8;0.6;;;;;;;;;;;;;;;0.001733571;0.036009579;;;;;;;;;
AT3G58470;nucleic acid binding / methyltransferase(AT3G58470);;6;1;8_24h;;;;;;0.8;;;;;;;;;;;;;;;;0.01708612;;;;;;;;;;
AT5G02820;Spo11/DNA topoisomerase VI, subunit A protein(RHL2);;6;1;8_24h;;;;;;0.8;;;;;;;;;;;;;;;;0.02180213;;;;;;;;;;
AT1G73840;hydroxyproline-rich glycoprotein family protein(ESP1);;6;1;8_24h;;;;;;0.8;;;;;;;;;;;;;;;;0.005687147;;;;;;;;;;
AT5G35100;Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein(AT5G35100);;6;1;8_24h;;;;;;0.8;;;;;;;;;;;;;;;;0.001778064;;;;;;;;;;
AT4G30980;LJRHL1-like 2(LRL2);;07.θών;2;8_24h;;;;;;0.8;1;;;;;;;;;;;;;;;0.016354965;0.002832366;;;;;;;;;
AT5G01160;RING/U-box superfamily protein(AT5G01160);;07.θών;2;8_24h;;;;;;0.8;0.7;;;;;;;;;;;;;;;0.001835746;0.02018351;;;;;;;;;
AT1G28380;MAC/Perforin domain-containing protein(NSL1);;07.θών;2;8_24h;;;;;;0.8;0.8;;;;;;;;;;;;;;;0.007028611;0.012598938;;;;;;;;;
AT1G78270;UDP-glucosyl transferase 85A4(UGT85A4);;6-7#15;3;8_24h;;;;;;0.8;0.9;;;;;;;;0.9;;;;;;;0.021239404;0.011955277;;;;;;;;0.009347223;
AT1G23850;transmembrane protein(AT1G23850);;07.θών;2;8_24h;;;;;;0.8;0.9;;;;;;;;;;;;;;;0.033399277;0.010599053;;;;;;;;;
AT4G38150;Pentatricopeptide repeat (PPR) superfamily protein(AT4G38150);;6;1;8_24h;;;;;;0.8;;;;;;;;;;;;;;;;0.040840792;;;;;;;;;;
AT1G78265;ncRNA(AT1G78265);;07.θών;2;8_24h;;;;;;0.8;0.9;;;;;;;;;;;;;;;0.002840092;0.001798432;;;;;;;;;
AT3G20300;extracellular ligand-gated ion channel protein (DUF3537)(AT3G20300);;07.θών;2;8_24h;;;;;;0.8;0.9;;;;;;;;;;;;;;;0.031400991;0.009053042;;;;;;;;;
AT1G35830;VQ motif-containing protein(AT1G35830);;6;1;8_24h;;;;;;0.8;;;;;;;;;;;;;;;;0.038745776;;;;;;;;;;
AT5G55930;oligopeptide transporter 1(OPT1);;6;1;8_24h;;;;;;0.8;;;;;;;;;;;;;;;;0.037966088;;;;;;;;;;
AT1G01390;UDP-Glycosyltransferase superfamily protein(AT1G01390);;6;1;8_24h;;;;;;0.8;;;;;;;;;;;;;;;;0.022988882;;;;;;;;;;
